title,artist,year,decade,chart_position,weeks_on_chart,top10,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,loudness,word_count,unique_words,lexical_diversity,avg_word_length,vader_compound,vader_positive,vader_negative,vader_neutral,textblob_polarity,textblob_subjectivity
bridge over troubled water,simon & garfunkel,1970,1970s,1,1,1,0.1232458874583244,0.1181817190987723,0.5736813466999388,83.35433467741936,0.308299358756257,0.6383930519223213,0.2410712987184524,-35.86363983154297,163,78,0.4785276073619632,3.932515337423313,-0.270611577964519,0.0,0.270611577964519,0.7293884220354809,-0.270611577964519,0.624813258636788
close to you,carpenters,1970,1970s,2,1,1,0.1847495287656784,0.1915806361607142,0.600679504695197,89.10290948275862,0.0,0.886549811810255,0.0756334587931633,-33.294677734375,197,61,0.3096446700507614,3.873096446700507,0.0328703703703703,0.0328703703703703,0.0,0.9671296296296296,0.0328703703703703,0.3907407407407408
american womanno sugar tonight,the guess who,1970,1970s,3,1,1,0.1903885006904602,0.3156065259660993,0.647515621814099,99.38401442307692,0.2527425658535503,0.0,1.0,-28.953771591186523,6734,1721,0.2555687555687556,4.492129492129492,0.0725519853709508,0.0725519853709508,0.0,0.9274480146290492,0.0725519853709508,0.4605704257428399
raindrops keep fallin on my head,b.j. thomas,1970,1970s,4,1,1,0.2604031562805176,0.5493301936558315,0.7120075007847377,107.666015625,0.0594801345709886,0.6251072213053703,0.2499285191297531,-20.7734432220459,179,82,0.4581005586592179,4.134078212290503,0.1288461538461538,0.1288461538461538,0.0,0.8711538461538462,0.1288461538461538,0.4057692307692307
war,edwin starr,1970,1970s,5,1,1,0.2273544520139694,0.5722526550292969,0.226622988303996,112.34714673913044,0.0,0.0,1.0,-19.97115707397461,264,135,0.5113636363636364,4.583333333333333,0.2767857142857143,0.2767857142857143,0.0,0.7232142857142857,0.2767857142857143,0.6967857142857143
aint no mountain high enough,diana ross,1970,1970s,6,1,1,0.1548642963171005,0.4067181723458426,0.6437070119322228,89.10290948275862,0.0,0.6546824872493744,0.2302116751670837,-25.764863967895508,441,143,0.3242630385487528,3.927437641723356,0.0562962962962963,0.0562962962962963,0.0,0.9437037037037036,0.0562962962962963,0.4993317230273751
ill be there,jackson 5,1970,1970s,7,1,1,0.175179436802864,0.3865824563162667,0.6396798687263076,89.10290948275862,0.0,0.5395483523607254,0.3069677650928497,-26.469614028930664,266,97,0.3646616541353383,3.868421052631579,0.4752331002331003,0.4752331002331003,0.0,0.5247668997668997,0.4752331002331003,0.5862470862470862
get ready,rare earth,1970,1970s,8,1,1,0.2130778580904007,0.4619410923549107,0.7406722586495535,129.19921875,0.0,0.0,1.0,-23.832061767578125,234,95,0.405982905982906,4.072649572649572,0.3214285714285714,0.3214285714285714,0.0,0.6785714285714286,0.3214285714285714,0.5452380952380952
let it be,the beatles,1970,1970s,9,1,1,0.1765694171190261,0.3925747462681361,0.6081466456821987,73.828125,0.2255734942404376,0.9494016133248806,0.0337322577834129,-26.25988388061523,267,65,0.2434456928838951,3.3707865168539324,0.2214285714285714,0.2214285714285714,0.0,0.7785714285714286,0.2214285714285714,0.4589285714285714
band of gold,freda payne,1970,1970s,10,1,1,0.2609409987926483,0.6655699048723493,0.7352554430280414,107.666015625,0.0,0.0,0.8558711409568787,-16.705053329467773,233,83,0.3562231759656652,3.8583690987124464,0.1753472222222222,0.1753472222222222,0.0,0.8246527777777778,0.1753472222222222,0.3934027777777777
mama told me,three dog night,1970,1970s,11,1,0,0.224694475531578,0.6091213771275111,0.744939636626801,117.45383522727272,0.0,0.3720649182796478,0.4186233878135681,-18.68075180053711,299,106,0.354515050167224,3.762541806020067,0.1194444444444444,0.1194444444444444,0.0,0.8805555555555555,0.1194444444444444,0.3317460317460318
everything is beautiful,ray stevens,1970,1970s,12,1,0,0.195213958621025,0.0866744995117187,0.6102478463309151,103.359375,0.0,0.5160642713308334,0.3226238191127777,-36.96639251708984,270,123,0.4555555555555555,4.366666666666666,0.3783602150537634,0.3783602150537634,0.0,0.6216397849462366,0.3783602150537634,0.7075268817204301
make it with you,bread,1970,1970s,13,1,0,0.2208564281463623,0.5336671011788504,0.6567784231159544,83.35433467741936,0.1321396711873435,0.8079828023910522,0.1280114650726318,-21.32165145874023,170,82,0.4823529411764706,3.747058823529412,0.0602678571428571,0.0602678571428571,0.0,0.9397321428571428,0.0602678571428571,0.4508928571428572
hitchin a ride,vanity fare,1970,1970s,14,1,0,0.2372249215841293,0.5271880558558872,0.7537216513497489,129.19921875,0.0,0.8156446889042854,0.1229035407304763,-21.548418045043945,157,61,0.3885350318471338,4.057324840764331,0.1583333333333333,0.1583333333333333,0.0,0.8416666666666667,0.1583333333333333,0.6
abc,jackson 5,1970,1970s,15,1,0,0.2739581763744354,0.6233678545270648,0.8916099548339844,184.5703125,0.0,0.0,0.9279069304466248,-18.182125091552734,411,122,0.2968369829683698,3.639902676399027,0.2918981481481482,0.2918981481481482,0.0,0.7081018518518518,0.2918981481481482,0.6018959435626103
the love you savei found that girl,jackson 5,1970,1970s,16,1,0,0.199251040816307,0.577589579990932,0.6847003936767578,92.28515625,0.0,0.3312384784221649,0.4458410143852234,-19.784364700317383,207,81,0.391304347826087,4.057971014492754,-0.088037888037888,0.0,0.088037888037888,0.911962111962112,-0.088037888037888,0.6408017908017912
cracklin rosie,neil diamond,1970,1970s,17,1,0,0.2548456788063049,0.6446734292166574,0.7772187260219029,129.19921875,0.0,0.7860920652747154,0.1426052898168563,-17.436429977416992,259,106,0.4092664092664093,3.675675675675676,0.3370535714285713,0.3370535714285713,0.0,0.6629464285714286,0.3370535714285713,0.6214285714285714
candida,dawn,1970,1970s,18,1,0,0.2577413320541382,0.4511520385742187,0.2385144478934152,129.19921875,0.0,0.0,0.990961730480194,-24.209678649902344,26,16,0.6153846153846154,3.692307692307693,-0.2,0.0,0.2,0.8,-0.2,0.4
spirit in the sky,norman greenbaum,1970,1970s,22,1,0,0.2000628560781479,0.4621676308768136,0.2407175663539341,129.19921875,0.0,0.4928483664989471,0.3381010890007019,-23.824132919311523,206,48,0.233009708737864,3.5145631067961167,0.8074074074074075,0.8074074074074075,0.0,0.1925925925925925,0.8074074074074075,0.2981481481481481
lay down,melanie,1970,1970s,23,1,0,0.2155896425247192,0.7088320050920759,0.6918114038985995,83.35433467741936,0.0,0.5131259113550186,0.3245827257633209,-15.190879821777344,291,88,0.3024054982817869,3.7663230240549823,-0.05,0.0,0.05,0.95,-0.05,0.4047619047619047
ball of confusion,the temptations,1970,1970s,24,1,0,0.186546966433525,0.5128487178257534,0.2997106311701927,151.99908088235293,0.0537951516280361,0.7758973687887192,0.1494017541408538,-22.050294876098633,330,183,0.5545454545454546,4.493939393939394,0.2841363636363637,0.2841363636363637,0.0,0.7158636363636364,0.2841363636363637,0.5941717171717172
all right now,free,1970,1970s,26,1,0,0.2825005948543548,0.4606583186558314,0.7152470249324651,117.45383522727272,0.0,0.0,0.913623869419098,-23.8769588470459,305,103,0.3377049180327869,3.9901639344262296,0.2255434782608696,0.2255434782608696,0.0,0.7744565217391304,0.2255434782608696,0.4939699792960661
i want you back,jackson 5,1970,1970s,28,1,0,0.2405916601419448,0.5150422777448381,0.6874027721698468,99.38401442307692,0.0,0.0,1.0,-21.973520278930664,285,118,0.4140350877192982,3.6140350877192984,0.0863376623376623,0.0863376623376623,0.0,0.9136623376623376,0.0863376623376623,0.4174285714285714
julie do ya love me,bobby sherman,1970,1970s,29,1,0,0.2033348679542541,0.5833498273577009,0.6667149683517245,83.35433467741936,0.0,0.0359939634799957,0.6426706910133362,-19.58275604248047,203,81,0.3990147783251231,4.266009852216749,0.1525132275132275,0.1525132275132275,0.0,0.8474867724867725,0.1525132275132275,0.5177910052910052
greeneyed lady,sugarloaf,1970,1970s,30,1,0,0.2868152856826782,0.515869140625,0.800314715730042,151.99908088235293,0.0,0.5196938812732697,0.3202040791511535,-21.944580078125,92,46,0.5,5.032608695652174,0.2249999999999999,0.2249999999999999,0.0,0.775,0.2249999999999999,0.66875
ride captain ride,blues image,1970,1970s,32,1,0,0.2396913915872573,0.4287442888532366,0.7208493041992188,123.046875,0.0,0.5592660754919052,0.2938226163387298,-24.99394989013672,246,84,0.3414634146341463,4.2682926829268295,0.275,0.275,0.0,0.725,0.275,0.3999999999999999
