title,artist,year,chart_position,weeks_on_chart,tempo,energy,loudness,danceability,acousticness,speechiness,instrumentalness,valence
evil ways,santana,1970,69,1,117.45383522727272,0.2042961120605468,-32.84963607788086,0.2366600483655929,0.0,0.7605373859405518,0.0,0.6639745836134081
no time,the guess who,1970,70,1,123.046875,0.3101819719587053,-29.143630981445312,0.2374426871538162,0.0,1.0,0.0,0.6971368408203125
the wonder of youmama liked the roses,elvis presley,1970,72,1,92.28515625,0.6242535727364676,-18.151124954223633,0.1950533390045166,0.1731539365855566,0.1533327549695968,0.7700008675456047,0.694033192225865
up around the bendrun through the jungle,creedence clearwater revival,1970,73,1,67.99958881578948,0.5911305018833706,-19.31043243408203,0.197610005736351,0.0,0.2198966890573501,0.6701549664139748,0.6353680764105087
i just cant help believing,b.j. thomas,1970,75,1,135.99917763157896,0.4177364894321986,-25.379222869873047,0.2175840735435485,0.2398578752887853,0.0372766032814979,0.9440850950777532,0.7464026785255375
mississippi queen,mountain,1970,78,1,143.5546875,0.480244391305106,-23.19144630432129,0.224724069237709,0.0,0.4115332663059234,0.3827001005411148,0.2750946371895926
i want to take you higher,ike & tina turner & the ikettes,1970,79,1,117.45383522727272,0.5668930053710938,-20.15874481201172,0.2594046890735626,0.0,0.5876690149307251,0.1184964776039123,0.2364939622755174
yellow river,christie,1970,83,1,129.19921875,0.5909534999302455,-19.316627502441406,0.2189264446496963,0.0,0.2854319512844085,0.5718520730733871,0.2664747401646205
somebodys been sleeping,100 proof aged in soul,1970,84,1,135.99917763157896,0.503445053100586,-22.379423141479492,0.243299201130867,0.0,0.7493993639945984,0.0,0.763544391259215
lay a little lovin on me,robin mcnamara,1970,87,1,103.359375,0.0834574018205915,-37.0789909362793,0.2205036431550979,0.0,1.0,0.0,0.6096044267926897
up the ladder to the roof,the supremes,1970,88,1,117.45383522727272,0.4972332545689174,-22.59683609008789,0.1998230665922165,0.0,1.0,0.0,0.7225620121150822
travelin bandwholl stop the rain,creedence clearwater revival,1970,89,1,123.046875,0.6875944137573242,-15.934195518493652,0.2114280015230178,0.0,0.3947385251522064,0.4078922122716903,0.7726193291800363
psychedelic shack,the temptations,1970,91,1,151.99908088235293,7.803780691964285e-05,-39.99726867675781,0.2059886902570724,0.0,0.6858594417572021,0.0,0.1971564951664259
