title,artist,year,chart_position,weeks_on_chart,tempo,energy,loudness,danceability,acousticness,speechiness,instrumentalness,valence
how can you mend a broken heart,bee gees,1971,5,1,71.77734375,0.2852607727050781,-30.015872955322266,0.20374448597431183,0.0,0.21735599637031555,0.6739660054445267,0.5822893197195871
go away little girl,donny osmond,1971,7,1,112.34714673913044,0.5645304543631418,-20.24143409729004,0.22663642466068268,0.0,0.3484143614768982,0.4773784577846527,0.725078548170765
just my imagination,the temptations,1971,9,1,89.10290948275862,0.5765333993094308,-19.821331024169922,0.1741601675748825,0.20123750062941015,0.2951388955116272,0.5572916567325592,0.6776700573249403
tired of being alone,al green,1971,12,1,99.38401442307692,0.604703848702567,-18.835365295410156,0.310590535402298,0.0,0.15310953557491302,0.7703356966376305,0.20533508636139253
want ads,the honey cone,1971,13,1,95.703125,0.44050510951450894,-24.582321166992188,0.3022826611995697,0.0,1.0,0.0,0.6646077183314733
treat her like a lady,cornelius brothers & sister rose,1971,15,1,89.10290948275862,0.6131434849330357,-18.53997802734375,0.307594895362854,0.0,0.659500002861023,0.010749995708465576,0.18499207444966134
brown sugar,the rolling stones,1971,16,1,129.19921875,0.6559396471296038,-17.042112350463867,0.23629893362522125,0.0,0.30994677543640137,0.535079836845398,0.7794719696044923
youve got a friend,james taylor,1971,17,1,95.703125,0.35450711931501117,-27.59225082397461,0.21489964425563812,0.3891196097153732,0.2572541832923889,0.6141187250614166,0.14740812029157366
mr big stuff,jean knight,1971,18,1,92.28515625,0.5497718811035156,-20.757984161376953,0.3692149221897125,0.0,0.691858172416687,0.0,0.6791368538992746
do you know what i mean,lee michaels,1971,19,1,107.666015625,0.5326537540980748,-21.357118606567383,0.2563634216785431,0.0,0.48720407485961914,0.2691938877105713,0.7086722128731864
the night they drove old dixie down,joan baez,1971,20,1,129.19921875,0.5047916957310268,-22.332290649414062,0.26621904969215393,0.0,0.1303175687789917,0.8045236468315125,0.7492423793247768
whats going on,marvin gaye,1971,21,1,99.38401442307692,0.36557230268205915,-27.20496940612793,0.21201138198375702,0.0,0.41137757897377014,0.3829336315393448,0.657508777157291
uncle albertadmiral halsey,paul & linda mccartney,1971,22,1,143.5546875,0.452509035382952,-24.16218376159668,0.21090446412563324,0.0,0.3710598349571228,0.4434102475643158,0.7695475660051618
signs,five man electrical band,1971,24,1,172.265625,0.6127335684640067,-18.554325103759766,0.2198019027709961,0.0,0.6211040616035461,0.06834390759468079,0.8631159101213728
shes a lady,tom jones,1971,25,1,123.046875,0.5483482905796596,-20.807809829711914,0.2626068890094757,0.0,0.5419191122055054,0.18712133169174194,0.24477010454450338
amos moses,jerry reed,1971,28,1,103.359375,0.48924407958984373,-22.87645721435547,0.3329722285270691,0.0,0.5156981945037842,0.22645270824432373,0.6907617623465402
superstar,carpenters,1971,30,1,80.74951171875,0.40942197527204244,-25.670230865478516,0.16291861236095428,0.16482798410385868,0.0723414197564125,0.8914878703653812,0.12634763445172992
my sweet lordisnt it a pity,george harrison,1971,31,1,123.046875,0.507261712210519,-22.245840072631836,0.20298326015472412,0.0,0.49486008286476135,0.25770987570285797,0.23655278887067524
put your hand in the hand,ocean,1971,33,1,135.99917763157896,0.4288782392229353,-24.989261627197266,0.33123552799224854,0.0,0.3596082627773285,0.46058760583400726,0.7486310284836848
for all we know,carpenters,1971,35,1,135.99917763157896,0.587147467476981,-19.449838638305664,0.19572176039218903,0.0,0.06049826368689537,0.9092526044696569,0.780284874134494
if you could read my mind,gordon lightfoot,1971,36,1,123.046875,0.4296611785888672,-24.96185874938965,0.20874018967151642,0.14392333840339122,0.0548715777695179,0.9176926333457232,0.7210326821463449
help me make it through the night,sammi smith,1971,37,1,78.30255681818181,0.46743970598493306,-23.639610290527344,0.20849575102329254,0.0,0.3654051125049591,0.45189233124256134,0.6327077058073762
never can say goodbye,jackson 5,1971,40,1,161.4990234375,0.6000333513532367,-18.99883270263672,0.2225673943758011,0.0,0.5394715666770935,0.19079264998435974,0.8375045776367188
rose garden,lynn anderson,1971,41,1,129.19921875,0.5251746586390904,-21.618886947631836,0.21976149082183838,0.0,1.0,0.0,0.7533189719063895
dont pull your love,"hamilton, joe frank & reynolds",1971,42,1,99.38401442307692,0.7428722926548549,-13.999469757080078,0.22821135818958282,0.0,0.4822844862937927,0.2765732705593109,0.7329687751518501
it dont come easy,ringo starr,1971,43,1,117.45383522727273,0.2548803056989397,-31.07918930053711,0.19623368978500366,0.0,0.8850876092910767,0.0,0.6740914223410867
mr bojangles,nitty gritty dirt band,1971,44,1,161.4990234375,0.5702572413853236,-20.040996551513672,0.2610927224159241,0.0,0.5083526968955994,0.23747095465660095,0.8315493556431361
whatcha see is whatcha get,the dramatics,1971,46,1,151.99908088235293,0.5632022312709264,-20.287921905517578,0.2816067039966583,0.0,0.5799692273139954,0.13004615902900696,0.8097813338592272
thats the way ive always heard it should be,carly simon,1971,47,1,135.99917763157896,0.25220157078334265,-31.172945022583008,0.17107385396957397,0.0,0.15862582623958588,0.7620612606406212,0.21329569479576627
if you really love me,stevie wonder,1971,48,1,123.046875,0.5763180868966239,-19.828866958618164,0.2251744419336319,0.0,0.3813106119632721,0.42803408205509186,0.7503640638078962
spanish harlem,aretha franklin,1971,49,1,112.34714673913044,0.5222754887172154,-21.72035789489746,0.3011241555213928,0.0,0.7703729867935181,0.0,0.7166275550415797
bridge over troubled water,aretha franklin,1971,52,1,151.99908088235293,0.4005887712751116,-25.979393005371094,0.21097791194915771,0.037919327422611615,0.7328438758850098,0.0,0.7772586418600643
draggin the line,tommy james,1971,54,1,112.34714673913044,0.5507681165422712,-20.723115921020508,0.30680370330810547,0.0,0.3952701985836029,0.40709470212459564,0.7223260806065909
proud mary,ike & tina turner,1971,55,1,95.703125,0.22799769810267856,-32.02008056640625,0.29411473870277405,0.0,0.31604915857315063,0.525926262140274,0.6221062360491072
beginningscolour my world,chicago,1971,56,1,161.4990234375,0.5895806993756976,-19.364675521850586,0.21605385839939117,0.10025827343480032,0.056046292185783386,0.9159305617213249,0.8354140472412109
sweet city woman,stampeders,1971,58,1,172.265625,0.6240186963762556,-18.159345626831055,0.32739800214767456,0.0,0.5544440150260925,0.1683339774608612,0.8653729357038226
if,bread,1971,61,1,95.703125,0.42544735499790737,-25.109342575073242,0.19360023736953735,0.2472502794847956,0.06029209494590759,0.9095618575811386,0.661596167428153
mercy mercy me,marvin gaye,1971,62,1,184.5703125,0.644488034929548,-17.44291877746582,0.22794349491596222,0.0,0.13464370369911194,0.7980344444513321,0.395833990914481
bring the boys home,freda payne,1971,65,1,123.046875,0.43075103759765626,-24.92371368408203,0.21709953248500824,0.0,0.35343024134635925,0.4698546379804611,0.7212506539481027
i just want to celebrate,rare earth,1971,66,1,117.45383522727273,0.6635886601039341,-16.774396896362305,0.2699633538722992,0.0,0.5593241453170776,0.16101378202438354,0.25583309322208553
never ending song of love,delaney & bonnie & friends,1971,67,1,92.28515625,0.4792393275669643,-23.22662353515625,0.22810626029968262,0.0,0.5068415403366089,0.23973768949508667,0.6650303431919643
easy loving,freddie hart,1971,68,1,99.38401442307692,0.39670388357979913,-26.11536407470703,0.18733686208724976,0.0,1.0,0.0,0.663735093336839
liar,three dog night,1971,69,1,107.666015625,0.6406279972621373,-17.578020095825195,0.1945437341928482,0.0,0.36459043622016907,0.4531143456697464,0.730267061505999
stickup,the honey cone,1971,70,1,99.38401442307692,0.3612959180559431,-27.354642868041992,0.26306819915771484,0.0,0.5768054723739624,0.1347917914390564,0.6566535002320678
wild world,cat stevens,1971,73,1,151.99908088235293,0.5505983080182757,-20.72905921936035,0.27969035506248474,0.0,0.22460247576236725,0.6630962863564491,0.30726054920869716
when youre hot youre hot,jerry reed,1971,74,1,99.38401442307692,0.6221176692417689,-18.225881576538086,0.31728503108024597,0.0,0.4176776707172394,0.37348349392414093,0.708817850469233
if not for you,olivia newton-john,1971,76,1,117.45383522727273,0.448083005632673,-24.317094802856445,0.21737445890903473,0.0,0.6055966019630432,0.09160509705543518,0.7127319623278333
groove me,king floyd,1971,77,1,103.359375,0.5859834398542132,-19.49057960510254,0.34212446212768555,0.0,0.9696469306945801,0.0,0.710109634399414
watching scotty grow,bobby goldsboro,1971,78,1,184.5703125,0.5224185943603515,-21.715349197387695,0.23340173065662384,0.0,0.2256322056055069,0.6615516915917397,0.8714201028006417
woodstock,matthews' southern comfort,1971,79,1,123.046875,0.45089917864118306,-24.218528747558594,0.2073030024766922,0.197920410837502,0.6540197134017944,0.01897042989730835,0.7252802821568081
amazing grace,judy collins,1971,80,1,107.666015625,0.3381862095424107,-28.163482666015625,0.22639703750610352,0.0,0.15091197192668915,0.7736320421099663,0.16977870396205358
lonely days,bee gees,1971,82,1,143.5546875,0.28310274396623886,-30.09140396118164,0.1509760320186615,0.0,0.15610380470752716,0.7658442929387093,0.23566630772181918
trapped by a thing called love,denise lasalle,1971,85,1,92.28515625,0.5809191567557198,-19.667829513549805,0.2703002095222473,0.0,0.09523560851812363,0.8571465872228146,0.6853663090297154
mamas pearl,jackson 5,1971,86,1,103.359375,0.6628003801618304,-16.801986694335938,0.2545202076435089,0.0,0.6147633194923401,0.07785502076148987,0.22547302246093753
i woke up in love this morning,the partridge family,1971,88,1,135.99917763157896,0.6396258762904576,-17.613094329833984,0.22041630744934082,0.0,0.36654677987098694,0.4501798301935196,0.29078055589718926
if i were your woman,gladys knight and the pips,1971,90,1,73.828125,0.5444690159388951,-20.943584442138672,0.1943090409040451,0.0,0.4273317754268646,0.35900233685970306,0.6385254996163505
wedding song,paul stookey,1971,92,1,89.10290948275862,0.4707538059779576,-23.523616790771484,0.20436851680278778,0.07812253239385947,0.2640613615512848,0.6039079576730728,0.6565141386586457
