title,artist,year,chart_position,weeks_on_chart,decade,top10
open arms,journey,1982,34,1,1980s,0.0
leader of the band,dan fogelberg,1982,35,1,1980s,0.0
leather and lace,stevie nicks,1982,36,1,1980s,0.0
even the nights are better,air supply,1982,37,1,1980s,0.0
ive never been to me,charlene,1982,38,1,1980s,0.0
65 love affair,paul davis,1982,39,1,1980s,0.0
heat of the moment,asia,1982,40,1,1980s,0.0
take it easy on me,little river band,1982,41,1,1980s,0.0
pacman fever,buckner & garcia,1982,42,1,1980s,0.0
that girl,stevie wonder,1982,43,1,1980s,0.0
trouble,lindsey buckingham,1982,45,1,1980s,0.0
making love,roberta flack,1982,46,1,1980s,0.0
loves been a little bit hard on me,juice newton,1982,47,1,1980s,0.0
young turks,rod stewart,1982,48,1,1980s,0.0
freezeframe,the j. geils band,1982,49,1,1980s,0.0
keep the fire burnin,reo speedwagon,1982,50,1,1980s,0.0
do you believe in love,huey lewis & the news,1982,51,1,1980s,0.0
cool night,paul davis,1982,52,1,1980s,0.0
why do fools fall in love,diana ross,1982,54,1,1980s,0.0
love in the first degree,alabama,1982,55,1,1980s,0.0
hooked on classics,royal philharmonic orchestra conducted by louis clark,1982,56,1,1980s,0.0
wasted on the way,"crosby, stills & nash",1982,57,1,1980s,0.0
think im in love,eddie money,1982,58,1,1980s,0.0
love is in control,donna summer,1982,59,1,1980s,0.0
personally,karla bonoff,1982,60,1,1980s,0.0
one hundred ways,quincy jones featuring james ingram,1982,61,1,1980s,0.0
blue eyes,elton john,1982,62,1,1980s,0.0
our lips are sealed,go-go's,1982,63,1,1980s,0.0
you could have been with me,sheena easton,1982,64,1,1980s,0.0
you can do magic,america,1982,65,1,1980s,0.0
i ran,a flock of seagulls,1982,67,1,1980s,0.0
somebodys baby,jackson browne,1982,68,1,1980s,0.0
oh no,commodores,1982,69,1,1980s,0.0
take it away,paul mccartney,1982,70,1,1980s,0.0
its gonna take a miracle,deniece williams,1982,71,1,1980s,0.0
love will turn you around,kenny rogers,1982,72,1,1980s,0.0
dont stop believin,journey,1982,73,1,1980s,0.0
comin in and out of your life,barbra streisand,1982,74,1,1980s,0.0
gloria,laura branigan,1982,75,1,1980s,0.0
empty garden,elton john,1982,76,1,1980s,0.0
yesterdays songs,neil diamond,1982,77,1,1980s,0.0
crimson and clover,joan jett & the blackhearts,1982,78,1,1980s,0.0
every little thing she does is magic,the police,1982,79,1,1980s,0.0
here i am,air supply,1982,80,1,1980s,0.0
i keep forgettin,michael mcdonald,1982,81,1,1980s,0.0
get down on it,kool & the gang,1982,82,1,1980s,0.0
any day now,ronnie milsap,1982,83,1,1980s,0.0
make a move on me,olivia newton-john,1982,84,1,1980s,0.0
take my heart,kool & the gang,1982,85,1,1980s,0.0
mirror mirror,diana ross,1982,86,1,1980s,0.0
vacation,go-go's,1982,87,1,1980s,0.0
pretty woman,van halen,1982,88,1,1980s,0.0
should i do it,the pointer sisters,1982,89,1,1980s,0.0
hot in the city,billy idol,1982,90,1,1980s,0.0
kids in america,kim wilde,1982,91,1,1980s,0.0
man on your mind,little river band,1982,92,1,1980s,0.0
whats forever for,michael murphey,1982,93,1,1980s,0.0
waiting on a friend,the rolling stones,1982,94,1,1980s,0.0
do i do,stevie wonder,1982,95,1,1980s,0.0
working for the weekend,loverboy,1982,96,1,1980s,0.0
goin down,greg guidry,1982,97,1,1980s,0.0
through the years,kenny rogers,1982,99,1,1980s,0.0
every breath you take,the police,1983,1,1,1980s,1.0
billie jean,michael jackson,1983,2,1,1980s,1.0
down under,men at work,1983,4,1,1980s,1.0
beat it,michael jackson,1983,5,1,1980s,1.0
total eclipse of the heart,bonnie tyler,1983,6,1,1980s,1.0
maniac,michael sembello,1983,9,1,1980s,1.0
sweet dreams,eurythmics,1983,10,1,1980s,1.0
do you really want to hurt me,culture club,1983,11,1,1980s,0.0
you and i,eddie rabbitt,1983,12,1,1980s,0.0
shame on the moon,bob seger & the silver bullet band,1983,14,1,1980s,0.0
she works hard for the money,donna summer,1983,15,1,1980s,0.0
never gonna let you go,sergio mendes,1983,16,1,1980s,0.0
hungry like the wolf,duran duran,1983,17,1,1980s,0.0
lets dance,david bowie,1983,18,1,1980s,0.0
twilight zone,golden earring,1983,19,1,1980s,0.0
i know theres something going on,frida,1983,20,1,1980s,0.0
electric avenue,eddy grant,1983,22,1,1980s,0.0
she blinded me with science,thomas dolby,1983,23,1,1980s,0.0
africa,toto,1983,24,1,1980s,0.0
little red corvette,prince,1983,25,1,1980s,0.0
mr roboto,styx,1983,28,1,1980s,0.0
you are,lionel richie,1983,29,1,1980s,0.0
puttin on the ritz,taco,1983,31,1,1980s,0.0
sexual healing,marvin gaye,1983,32,1,1980s,0.0
fascination,the human league,1983,33,1,1980s,0.0
the safety dance,men without hats,1983,35,1,1980s,0.0
mickey,toni basil,1983,36,1,1980s,0.0
you cant hurry love,phil collins,1983,37,1,1980s,0.0
separate ways,journey,1983,38,1,1980s,0.0
1999,prince,1983,41,1,1980s,0.0
stray cat strut,stray cats,1983,42,1,1980s,0.0
allentown,billy joel,1983,43,1,1980s,0.0
stand back,stevie nicks,1983,44,1,1980s,0.0
tell her about it,billy joel,1983,45,1,1980s,0.0
always something there to remind me,naked eyes,1983,46,1,1980s,0.0
truly,lionel richie,1983,47,1,1980s,0.0
dirty laundry,don henley,1983,48,1,1980s,0.0
too shy,kajagoogoo,1983,50,1,1980s,0.0
goody two shoes,adam ant,1983,51,1,1980s,0.0
rock the casbah,the clash,1983,52,1,1980s,0.0
our house,madness,1983,53,1,1980s,0.0
overkill,men at work,1983,54,1,1980s,0.0
is there something i should know,duran duran,1983,55,1,1980s,0.0
affair of the heart,rick springfield,1983,57,1,1980s,0.0
shes a beauty,the tubes,1983,58,1,1980s,0.0
solitaire,laura branigan,1983,59,1,1980s,0.0
dont let it end,styx,1983,60,1,1980s,0.0
how am i supposed to live without you,laura branigan,1983,61,1,1980s,0.0
china girl,david bowie,1983,62,1,1980s,0.0
come dancing,the kinks,1983,63,1,1980s,0.0
promises promises,naked eyes,1983,64,1,1980s,0.0
the other guy,little river band,1983,65,1,1980s,0.0
making love out of nothing at all,air supply,1983,66,1,1980s,0.0
i wont hold you back,toto,1983,69,1,1980s,0.0
all right,christopher cross,1983,70,1,1980s,0.0
straight from the heart,bryan adams,1983,71,1,1980s,0.0
heart to heart,kenny loggins,1983,72,1,1980s,0.0
my love,lionel richie,1983,73,1,1980s,0.0
im still standing,elton john,1983,74,1,1980s,0.0
hot girls in love,loverboy,1983,75,1,1980s,0.0
its a mistake,men at work,1983,76,1,1980s,0.0
ill tumble 4 ya,culture club,1983,77,1,1980s,0.0
all this love,debarge,1983,78,1,1980s,0.0
your love is driving me crazy,sammy hagar,1983,79,1,1980s,0.0
heartbreaker,dionne warwick,1983,80,1,1980s,0.0
faithfully,journey,1983,81,1,1980s,0.0
steppin out,joe jackson,1983,82,1,1980s,0.0
take me to heart,quarterflash,1983,83,1,1980s,0.0
sexy  17,stray cats,1983,84,1,1980s,0.0
try again,champaign,1983,85,1,1980s,0.0
dead giveaway,shalamar,1983,86,1,1980s,0.0
lawyers in love,jackson browne,1983,87,1,1980s,0.0
what about me,moving pictures,1983,88,1,1980s,0.0
human nature,michael jackson,1983,89,1,1980s,0.0
photograph,def leppard,1983,90,1,1980s,0.0
pass the dutchie,musical youth,1983,91,1,1980s,0.0
true,spandau ballet,1983,92,1,1980s,0.0
far from over,frank stallone,1983,93,1,1980s,0.0
it might be you,stephen bishop,1983,95,1,1980s,0.0
tonight i celebrate my love,peabo bryson & roberta flack,1983,96,1,1980s,0.0
breaking us in two,joe jackson,1983,99,1,1980s,0.0
fall in love with me,"earth, wind & fire",1983,100,1,1980s,0.0
when doves cry,prince,1984,1,1,1980s,1.0
whats love got to do with it,tina turner,1984,2,1,1980s,1.0
footloose,kenny loggins,1984,4,1,1980s,1.0
against all odds,phil collins,1984,5,1,1980s,1.0
jump,van halen,1984,6,1,1980s,1.0
hello,lionel richie,1984,7,1,1980s,1.0
ghostbusters,ray parker jr.,1984,9,1,1980s,1.0
karma chameleon,culture club,1984,10,1,1980s,1.0
missing you,john waite,1984,11,1,1980s,0.0
all night long,lionel richie,1984,12,1,1980s,0.0
lets hear it for the boy,deniece williams,1984,13,1,1980s,0.0
dancing in the dark,bruce springsteen,1984,14,1,1980s,0.0
girls just want to have fun,cyndi lauper,1984,15,1,1980s,0.0
the reflex,duran duran,1984,16,1,1980s,0.0
time after time,cyndi lauper,1984,17,1,1980s,0.0
jump,the pointer sisters,1984,18,1,1980s,0.0
talking in your sleep,the romantics,1984,19,1,1980s,0.0
self control,laura branigan,1984,20,1,1980s,0.0
lets go crazy,prince and the revolution,1984,21,1,1980s,0.0
hold me now,thompson twins,1984,23,1,1980s,0.0
joanna,kool & the gang,1984,24,1,1980s,0.0
i just called to say i love you,stevie wonder,1984,25,1,1980s,0.0
somebodys watching me,rockwell,1984,26,1,1980s,0.0
break my stride,matthew wilder,1984,27,1,1980s,0.0
99 luftballons,nena,1984,28,1,1980s,0.0
i can dream about you,dan hartman,1984,29,1,1980s,0.0
the glamorous life,sheila e.,1984,30,1,1980s,0.0
oh sherrie,steve perry,1984,31,1,1980s,0.0
stuck on you,lionel richie,1984,32,1,1980s,0.0
i guess thats why they call it the blues,elton john,1984,33,1,1980s,0.0
she bop,cyndi lauper,1984,34,1,1980s,0.0
borderline,madonna,1984,35,1,1980s,0.0
sunglasses at night,corey hart,1984,36,1,1980s,0.0
eyes without a face,billy idol,1984,37,1,1980s,0.0
here comes the rain again,eurythmics,1984,38,1,1980s,0.0
uptown girl,billy joel,1984,39,1,1980s,0.0
sister christian,night ranger,1984,40,1,1980s,0.0
drive,the cars,1984,41,1,1980s,0.0
twist of fate,olivia newton-john,1984,42,1,1980s,0.0
union of the snake,duran duran,1984,43,1,1980s,0.0
hard habit to break,chicago,1984,45,1,1980s,0.0
the warrior,scandal featuring patty smyth,1984,46,1,1980s,0.0
if ever youre in my arms again,peabo bryson,1984,47,1,1980s,0.0
automatic,the pointer sisters,1984,48,1,1980s,0.0
let the music play,shannon,1984,49,1,1980s,0.0
to all the girls ive loved before,julio iglesias & willie nelson,1984,50,1,1980s,0.0
thats all,genesis,1984,52,1,1980s,0.0
running with the night,lionel richie,1984,53,1,1980s,0.0
sad songs,elton john,1984,54,1,1980s,0.0
i want a new drug,huey lewis & the news,1984,55,1,1980s,0.0
love is a battlefield,pat benatar,1984,57,1,1980s,0.0
infatuation,rod stewart,1984,58,1,1980s,0.0
legs,zz top,1984,60,1,1980s,0.0
love somebody,rick springfield,1984,62,1,1980s,0.0
miss me blind,culture club,1984,63,1,1980s,0.0
if this is it,huey lewis & the news,1984,64,1,1980s,0.0
you might think,the cars,1984,65,1,1980s,0.0
lucky star,madonna,1984,66,1,1980s,0.0
cover me,bruce springsteen,1984,67,1,1980s,0.0
cum on feel the noize,quiet riot,1984,68,1,1980s,0.0
breakdance,irene cara,1984,69,1,1980s,0.0
they dont know,tracey ullman,1984,71,1,1980s,0.0
an innocent man,billy joel,1984,72,1,1980s,0.0
cruel summer,bananarama,1984,73,1,1980s,0.0
dance hall days,wang chung,1984,74,1,1980s,0.0
im so excited,the pointer sisters,1984,76,1,1980s,0.0
i still cant get over loving you,ray parker jr.,1984,77,1,1980s,0.0
holiday,madonna,1984,79,1,1980s,0.0
nobody told me,john lennon,1984,81,1,1980s,0.0
church of the poison mind,culture club,1984,82,1,1980s,0.0
think of laura,christopher cross,1984,83,1,1980s,0.0
time will reveal,debarge,1984,84,1,1980s,0.0
wrapped around your finger,the police,1984,85,1,1980s,0.0
round and round,ratt,1984,87,1,1980s,0.0
head over heels,go-go's,1984,88,1,1980s,0.0
the longest time,billy joel,1984,89,1,1980s,0.0
tonight,kool & the gang,1984,90,1,1980s,0.0
got a hold on me,christine mcvie,1984,91,1,1980s,0.0
dancing in the sheets,shalamar,1984,92,1,1980s,0.0
undercover of the night,the rolling stones,1984,93,1,1980s,0.0
on the dark side,john cafferty & the beaver brown band,1984,94,1,1980s,0.0
new moon on monday,duran duran,1984,95,1,1980s,0.0
major tom,peter schilling,1984,96,1,1980s,0.0
magic,the cars,1984,97,1,1980s,0.0
when you close your eyes,night ranger,1984,98,1,1980s,0.0
rock me tonite,billy squier,1984,99,1,1980s,0.0
yah mo be there,james ingram,1984,100,1,1980s,0.0
like a virgin,madonna,1985,2,1,1980s,1.0
wake me up before you gogo,wham!,1985,3,1,1980s,1.0
i want to know what love is,foreigner,1985,4,1,1980s,1.0
i feel for you,chaka khan,1985,5,1,1980s,1.0
everybody wants to rule the world,tears for fears,1985,7,1,1980s,1.0
money for nothing,dire straits,1985,8,1,1980s,1.0
crazy for you,madonna,1985,9,1,1980s,1.0
take on me,a-ha,1985,10,1,1980s,1.0
everytime you go away,paul young,1985,11,1,1980s,0.0
easy lover,philip bailey,1985,12,1,1980s,0.0
cant fight this feeling,reo speedwagon,1985,13,1,1980s,0.0
we built this city,starship,1985,14,1,1980s,0.0
the power of love,huey lewis & the news,1985,15,1,1980s,0.0
dont you,simple minds,1985,16,1,1980s,0.0
cherish,kool & the gang,1985,17,1,1980s,0.0
st elmos fire,john parr,1985,18,1,1980s,0.0
the heat is on,glenn frey,1985,19,1,1980s,0.0
we are the world,usa for africa,1985,20,1,1980s,0.0
shout,tears for fears,1985,21,1,1980s,0.0
parttime lover,stevie wonder,1985,22,1,1980s,0.0
saving all my love for you,whitney houston,1985,23,1,1980s,0.0
heaven,bryan adams,1985,24,1,1980s,0.0
everything she wants,wham!,1985,25,1,1980s,0.0
cool it now,new edition,1985,26,1,1980s,0.0
miami vice theme,jan hammer,1985,27,1,1980s,0.0
loverboy,billy ocean,1985,28,1,1980s,0.0
lover girl,teena marie,1985,29,1,1980s,0.0
you belong to the city,glenn frey,1985,30,1,1980s,0.0
oh sheila,ready for the world,1985,31,1,1980s,0.0
rhythm of the night,debarge,1985,32,1,1980s,0.0
one more night,phil collins,1985,33,1,1980s,0.0
sea of love,the honeydrippers,1985,34,1,1980s,0.0
a view to a kill,duran duran,1985,35,1,1980s,0.0
the wild boys,duran duran,1985,36,1,1980s,0.0
youre the inspiration,chicago,1985,37,1,1980s,0.0
neutron dance,the pointer sisters,1985,38,1,1980s,0.0
we belong,pat benatar,1985,39,1,1980s,0.0
nightshift,commodores,1985,40,1,1980s,0.0
things can only get better,howard jones,1985,41,1,1980s,0.0
all i need,jack wagner,1985,42,1,1980s,0.0
freeway of love,aretha franklin,1985,43,1,1980s,0.0
never surrender,corey hart,1985,44,1,1980s,0.0
sussudio,phil collins,1985,45,1,1980s,0.0
strut,sheena easton,1985,46,1,1980s,0.0
you give good love,whitney houston,1985,47,1,1980s,0.0
the search is over,survivor,1985,48,1,1980s,0.0
missing you,diana ross,1985,49,1,1980s,0.0
raspberry beret,prince and the revolution,1985,51,1,1980s,0.0
suddenly,billy ocean,1985,52,1,1980s,0.0
the boys of summer,don henley,1985,53,1,1980s,0.0
one night in bangkok,murray head,1985,54,1,1980s,0.0
if you love somebody set them free,sting,1985,55,1,1980s,0.0
obsession,animotion,1985,56,1,1980s,0.0
we dont need another hero,tina turner,1985,57,1,1980s,0.0
material girl,madonna,1985,58,1,1980s,0.0
better be good to me,tina turner,1985,59,1,1980s,0.0
head over heels,tears for fears,1985,60,1,1980s,0.0
axel f,harold faltermeyer,1985,61,1,1980s,0.0
smooth operator,sade,1985,62,1,1980s,0.0
in my house,mary jane girls,1985,63,1,1980s,0.0
kiss me,phil collins,1985,64,1,1980s,0.0
all through the night,cyndi lauper,1985,65,1,1980s,0.0
run to you,bryan adams,1985,66,1,1980s,0.0
glory days,bruce springsteen,1985,67,1,1980s,0.0
misled,kool & the gang,1985,69,1,1980s,0.0
would i lie to you,eurythmics,1985,70,1,1980s,0.0
be near me,abc,1985,71,1,1980s,0.0
no more lonely nights,paul mccartney,1985,72,1,1980s,0.0
i cant hold back,survivor,1985,73,1,1980s,0.0
freedom,wham!,1985,76,1,1980s,0.0
too late for goodbyes,julian lennon,1985,77,1,1980s,0.0
valotte,julian lennon,1985,78,1,1980s,0.0
some like it hot,the power station,1985,79,1,1980s,0.0
solid,ashford & simpson,1985,80,1,1980s,0.0
angel,madonna,1985,81,1,1980s,0.0
im on fire,bruce springsteen,1985,82,1,1980s,0.0
whos holding donna now,debarge,1985,85,1,1980s,0.0
what about love,heart,1985,87,1,1980s,0.0
california girls,david lee roth,1985,88,1,1980s,0.0
fresh,kool & the gang,1985,89,1,1980s,0.0
do what you do,jermaine jackson,1985,90,1,1980s,0.0
jungle love,the time,1985,91,1,1980s,0.0
born in the usa,bruce springsteen,1985,92,1,1980s,0.0
private dancer,tina turner,1985,93,1,1980s,0.0
whos zoomin who,aretha franklin,1985,94,1,1980s,0.0
fortress around your heart,sting,1985,95,1,1980s,0.0
penny lover,lionel richie,1985,96,1,1980s,0.0
all she wants to do is dance,don henley,1985,97,1,1980s,0.0
sentimental street,night ranger,1985,99,1,1980s,0.0
sugar walls,sheena easton,1985,100,1,1980s,0.0
thats what friends are for,"dionne & friends featuring elton john, gladys knight and stevie wonder",1986,1,1,1980s,1.0
i miss you,klymaxx,1986,3,1,1980s,1.0
on my own,patti labelle & michael mcdonald,1986,4,1,1980s,1.0
broken wings,mr. mister,1986,5,1,1980s,1.0
how will i know,whitney houston,1986,6,1,1980s,1.0
party all the time,eddie murphy,1986,7,1,1980s,1.0
burning heart,survivor,1986,8,1,1980s,1.0
kyrie,mr. mister,1986,9,1,1980s,1.0
addicted to love,robert palmer,1986,10,1,1980s,1.0
greatest love of all,whitney houston,1986,11,1,1980s,0.0
secret lovers,atlantic starr,1986,12,1,1980s,0.0
friends and lovers,carl anderson & gloria loring,1986,13,1,1980s,0.0
west end girls,pet shop boys,1986,15,1,1980s,0.0
therell be sad songs,billy ocean,1986,16,1,1980s,0.0
alive  kicking,simple minds,1986,17,1,1980s,0.0
never,heart,1986,18,1,1980s,0.0
kiss,prince and the revolution,1986,19,1,1980s,0.0
higher love,steve winwood,1986,20,1,1980s,0.0
stuck with you,huey lewis & the news,1986,21,1,1980s,0.0
holding back the years,simply red,1986,22,1,1980s,0.0
sledgehammer,peter gabriel,1986,23,1,1980s,0.0
sara,starship,1986,24,1,1980s,0.0
human,the human league,1986,25,1,1980s,0.0
i cant wait,nu shooz,1986,26,1,1980s,0.0
rock me amadeus,falco,1986,28,1,1980s,0.0
papa dont preach,madonna,1986,29,1,1980s,0.0
you give love a bad name,bon jovi,1986,30,1,1980s,0.0
when i think of you,janet jackson,1986,32,1,1980s,0.0
these dreams,heart,1986,33,1,1980s,0.0
live to tell,madonna,1986,35,1,1980s,0.0
mad about you,belinda carlisle,1986,36,1,1980s,0.0
something about you,level 42,1986,37,1,1980s,0.0
venus,bananarama,1986,38,1,1980s,0.0
dancing on the ceiling,lionel richie,1986,39,1,1980s,0.0
conga,miami sound machine,1986,40,1,1980s,0.0
true colors,cyndi lauper,1986,41,1,1980s,0.0
danger zone,kenny loggins,1986,42,1,1980s,0.0
what have you done for me lately,janet jackson,1986,43,1,1980s,0.0
no one is to blame,howard jones,1986,44,1,1980s,0.0
lets go all the way,sly fox,1986,45,1,1980s,0.0
words get in the way,miami sound machine,1986,47,1,1980s,0.0
walk of life,dire straits,1986,49,1,1980s,0.0
amanda,boston,1986,50,1,1980s,0.0
two of hearts,stacey q,1986,51,1,1980s,0.0
crush on you,the jets,1986,52,1,1980s,0.0
if you leave,orchestral manoeuvres in the dark,1986,53,1,1980s,0.0
invisible touch,genesis,1986,54,1,1980s,0.0
the sweetest taboo,sade,1986,55,1,1980s,0.0
what you need,inxs,1986,56,1,1980s,0.0
talk to me,stevie nicks,1986,57,1,1980s,0.0
nasty,janet jackson,1986,58,1,1980s,0.0
your love,the outfield,1986,62,1,1980s,0.0
im your man,wham!,1986,63,1,1980s,0.0
perfect way,scritti politti,1986,64,1,1980s,0.0
living in america,james brown,1986,65,1,1980s,0.0
word up,cameo,1986,68,1,1980s,0.0
why cant this be love,van halen,1986,69,1,1980s,0.0
typical male,tina turner,1986,71,1,1980s,0.0
tarzan boy,baltimora,1986,73,1,1980s,0.0
true blue,madonna,1986,76,1,1980s,0.0
rumors,timex social club,1986,77,1,1980s,0.0
life in a northern town,the dream academy,1986,78,1,1980s,0.0
bad boy,miami sound machine,1986,79,1,1980s,0.0
sleeping bag,zz top,1986,80,1,1980s,0.0
tonight she comes,the cars,1986,81,1,1980s,0.0
a love bizarre,sheila e.,1986,83,1,1980s,0.0
throwing it all away,genesis,1986,84,1,1980s,0.0
baby love,regina,1986,85,1,1980s,0.0
election day,arcadia,1986,86,1,1980s,0.0
nikita,elton john,1986,87,1,1980s,0.0
take me home,phil collins,1986,88,1,1980s,0.0
walk this way,run-d.m.c.,1986,89,1,1980s,0.0
sweet love,anita baker,1986,90,1,1980s,0.0
your wildest dreams,the moody blues,1986,91,1,1980s,0.0
spies like us,paul mccartney,1986,92,1,1980s,0.0
object of my desire,starpoint,1986,93,1,1980s,0.0
dreamtime,daryl hall,1986,94,1,1980s,0.0
tender love,force m.d.'s,1986,95,1,1980s,0.0
king for a day,thompson twins,1986,96,1,1980s,0.0
love will conquer all,lionel richie,1986,97,1,1980s,0.0
a different corner,george michael,1986,98,1,1980s,0.0
ill be over you,toto,1986,99,1,1980s,0.0
go home,stevie wonder,1986,100,1,1980s,0.0
alone,heart,1987,2,1,1980s,1.0
shake you down,gregory abbott,1987,3,1,1980s,1.0
i wanna dance with somebody,whitney houston,1987,4,1,1980s,1.0
nothings gonna stop us now,starship,1987,5,1,1980s,1.0
cest la vie,robbie nevil,1987,6,1,1980s,1.0
here i go again,whitesnake,1987,7,1,1980s,1.0
the way it is,bruce hornsby & the range,1987,8,1,1980s,1.0
livin on a prayer,bon jovi,1987,10,1,1980s,1.0
la bamba,los lobos,1987,11,1,1980s,0.0
everybody have fun tonight,wang chung,1987,12,1,1980s,0.0
dont dream its over,crowded house,1987,13,1,1980s,0.0
always,atlantic starr,1987,14,1,1980s,0.0
looking for a new love,jody watley,1987,16,1,1980s,0.0
i think were alone now,tiffany,1987,18,1,1980s,0.0
mony mony live,billy idol,1987,19,1,1980s,0.0
at this moment,billy vera & the beaters,1987,20,1,1980s,0.0
the lady in red,chris de burgh,1987,21,1,1980s,0.0
didnt we almost have it all,whitney houston,1987,22,1,1980s,0.0
i still havent found what im looking for,u2,1987,23,1,1980s,0.0
notorious,duran duran,1987,25,1,1980s,0.0
only in my dreams,debbie gibson,1987,26,1,1980s,0.0
the time of my life,bill medley & jennifer warnes,1987,27,1,1980s,0.0
the next time i fall,peter cetera,1987,28,1,1980s,0.0
lean on me,club nouveau,1987,29,1,1980s,0.0
open your heart,madonna,1987,30,1,1980s,0.0
died in your arms,cutting crew,1987,32,1,1980s,0.0
heart and soul,t'pau,1987,33,1,1980s,0.0
you keep me hangin on,kim wilde,1987,34,1,1980s,0.0
keep your hands to yourself,the georgia satellites,1987,35,1,1980s,0.0
i knew you were waiting,aretha franklin & george michael,1987,36,1,1980s,0.0
control,janet jackson,1987,37,1,1980s,0.0
u got the look,prince,1987,38,1,1980s,0.0
land of confusion,genesis,1987,40,1,1980s,0.0
jacobs ladder,huey lewis & the news,1987,41,1,1980s,0.0
whos that girl,madonna,1987,42,1,1980s,0.0
you got it all,the jets,1987,43,1,1980s,0.0
touch me,samantha fox,1987,44,1,1980s,0.0
i just cant stop loving you,michael jackson,1987,45,1,1980s,0.0
causing a commotion,madonna,1987,46,1,1980s,0.0
in too deep,genesis,1987,47,1,1980s,0.0
lets wait awhile,janet jackson,1987,48,1,1980s,0.0
hip to be square,huey lewis & the news,1987,49,1,1980s,0.0
will you still love me,chicago,1987,50,1,1980s,0.0
little lies,fleetwood mac,1987,51,1,1980s,0.0
luka,suzanne vega,1987,52,1,1980s,0.0
dont mean nothing,richard marx,1987,54,1,1980s,0.0
songbird,kenny g,1987,55,1,1980s,0.0
carrie,europe,1987,56,1,1980s,0.0
dont disturb this groove,the system,1987,57,1,1980s,0.0
la isla bonita,madonna,1987,58,1,1980s,0.0
bad,michael jackson,1987,59,1,1980s,0.0
sign o the times,prince,1987,60,1,1980s,0.0
change of heart,cyndi lauper,1987,61,1,1980s,0.0
come go with me,expose,1987,62,1,1980s,0.0
cant we try,dan hill (duet,1987,63,1,1980s,0.0
to be a lover,billy idol,1987,64,1,1980s,0.0
mandolin rain,bruce hornsby & the range,1987,65,1,1980s,0.0
breakout,swing out sister,1987,66,1,1980s,0.0
stand by me,ben e. king,1987,67,1,1980s,0.0
tonight tonight tonight,genesis,1987,68,1,1980s,0.0
someday,glass tiger,1987,69,1,1980s,0.0
when smokey sings,abc,1987,70,1,1980s,0.0
casanova,levert,1987,71,1,1980s,0.0
rhythm is gonna get you,gloria estefan & miami sound machine,1987,72,1,1980s,0.0
rock steady,the whispers,1987,73,1,1980s,0.0
wanted dead or alive,bon jovi,1987,74,1,1980s,0.0
big time,peter gabriel,1987,75,1,1980s,0.0
the finer things,steve winwood,1987,76,1,1980s,0.0
let me be the one,expose,1987,77,1,1980s,0.0
is this love,survivor,1987,78,1,1980s,0.0
diamonds,herb alpert,1987,79,1,1980s,0.0
point of no return,expose,1987,80,1,1980s,0.0
big love,fleetwood mac,1987,81,1,1980s,0.0
midnight blue,lou gramm,1987,82,1,1980s,0.0
something so strong,crowded house,1987,83,1,1980s,0.0
heat of the night,bryan adams,1987,84,1,1980s,0.0
nothings gonna change my love for you,glenn medeiros,1987,85,1,1980s,0.0
brilliant disguise,bruce springsteen,1987,86,1,1980s,0.0
just to see her,smokey robinson,1987,87,1,1980s,0.0
who will you run to,heart,1987,88,1,1980s,0.0
respect yourself,bruce willis,1987,89,1,1980s,0.0
victory,kool & the gang,1987,91,1,1980s,0.0
doing it all for my baby,huey lewis & the news,1987,93,1,1980s,0.0
right on track,the breakfast club,1987,94,1,1980s,0.0
ballerina girl,lionel richie,1987,95,1,1980s,0.0
meet me half way,kenny loggins,1987,96,1,1980s,0.0
ive been in love before,cutting crew,1987,97,1,1980s,0.0
fight for your right,beastie boys,1987,98,1,1980s,0.0
funkytown,pseudo echo,1987,99,1,1980s,0.0
love you down,ready for the world,1987,100,1,1980s,0.0
faith,george michael,1988,1,1,1980s,1.0
need you tonight,inxs,1988,2,1,1980s,1.0
got my mind set on you,george harrison,1988,3,1,1980s,1.0
never gonna give you up,rick astley,1988,4,1,1980s,1.0
sweet child o mine,guns n' roses,1988,5,1,1980s,1.0
so emotional,whitney houston,1988,6,1,1980s,1.0
heaven is a place on earth,belinda carlisle,1988,7,1,1980s,1.0
couldve been,tiffany,1988,8,1,1980s,1.0
hands to heaven,breathe,1988,9,1,1980s,1.0
roll with it,steve winwood,1988,10,1,1980s,1.0
one more try,george michael,1988,11,1,1980s,0.0
wishing well,terence trent d'arby,1988,12,1,1980s,0.0
anything for youno te olvidare,gloria estefan & miami sound machine,1988,13,1,1980s,0.0
the flame,cheap trick,1988,14,1,1980s,0.0
get outta my dreams get into my car,billy ocean,1988,15,1,1980s,0.0
seasons change,expose,1988,16,1,1980s,0.0
is this love,whitesnake,1988,17,1,1980s,0.0
wild wild west,the escape club,1988,18,1,1980s,0.0
pour some sugar on me,def leppard,1988,19,1,1980s,0.0
ill always love you,taylor dayne,1988,20,1,1980s,0.0
man in the mirror,michael jackson,1988,21,1,1980s,0.0
shake your love,debbie gibson,1988,22,1,1980s,0.0
hold on to the nights,richard marx,1988,24,1,1980s,0.0
shattered dreams,johnny hates jazz,1988,26,1,1980s,0.0
father figure,george michael,1988,27,1,1980s,0.0
naughty girls,samantha fox,1988,28,1,1980s,0.0
groovy kind of love,phil collins,1988,29,1,1980s,0.0
love bites,def leppard,1988,30,1,1980s,0.0
