title,artist,year,chart_position,weeks_on_chart,decade,top10
i just want to celebrate,rare earth,1971,66,1,1970s,0.0
never ending song of love,delaney & bonnie & friends,1971,67,1,1970s,0.0
easy loving,freddie hart,1971,68,1,1970s,0.0
liar,three dog night,1971,69,1,1970s,0.0
stickup,the honey cone,1971,70,1,1970s,0.0
wild world,cat stevens,1971,73,1,1970s,0.0
when youre hot youre hot,jerry reed,1971,74,1,1970s,0.0
if not for you,olivia newton-john,1971,76,1,1970s,0.0
groove me,king floyd,1971,77,1,1970s,0.0
watching scotty grow,bobby goldsboro,1971,78,1,1970s,0.0
woodstock,matthews' southern comfort,1971,79,1,1970s,0.0
amazing grace,judy collins,1971,80,1,1970s,0.0
lonely days,bee gees,1971,82,1,1970s,0.0
trapped by a thing called love,denise lasalle,1971,85,1,1970s,0.0
mamas pearl,jackson 5,1971,86,1,1970s,0.0
i woke up in love this morning,the partridge family,1971,88,1,1970s,0.0
if i were your woman,gladys knight and the pips,1971,90,1,1970s,0.0
wedding song,paul stookey,1971,92,1,1970s,0.0
here comes the sun,richie havens,1971,95,1,1970s,0.0
sweet mary,wadsworth mansion,1971,96,1,1970s,0.0
right on the tip of my tongue,brenda & the tabulations,1971,97,1,1970s,0.0
riders on the storm,the doors,1971,99,1,1970s,0.0
its impossible,perry como,1971,100,1,1970s,0.0
alone again,gilbert o'sullivan,1972,2,1,1970s,1.0
american pie,don mclean,1972,3,1,1970s,1.0
without you,nilsson,1972,4,1,1970s,1.0
i gotcha,joe tex,1972,6,1,1970s,1.0
lean on me,bill withers,1972,7,1,1970s,1.0
baby dont get hooked on me,mac davis,1972,8,1,1970s,1.0
brand new key,melanie,1972,9,1,1970s,1.0
daddy dont you walk so fast,wayne newton,1972,10,1,1970s,1.0
lets stay together,al green,1972,11,1,1970s,0.0
brandy,looking glass,1972,12,1,1970s,0.0
oh girl,chi-lites,1972,13,1,1970s,0.0
nice to be with you,gallery,1972,14,1,1970s,0.0
my dingaling,chuck berry,1972,15,1,1970s,0.0
heart of gold,neil young,1972,17,1,1970s,0.0
betcha by golly wow,the stylistics,1972,18,1,1970s,0.0
ill take you there,the staple singers,1972,19,1,1970s,0.0
ben,michael jackson,1972,20,1,1970s,0.0
slippin into darkness,war,1972,23,1,1970s,0.0
a horse with no name,america,1972,26,1,1970s,0.0
song sung blue,neil diamond,1972,27,1,1970s,0.0
popcorn,hot butter,1972,28,1,1970s,0.0
everybody plays the fool,the main ingredient,1972,29,1,1970s,0.0
